id	room_index	level	name	description	mod_values
sacrificechamber_lvl3	18	3	Apex of Oblation	Contains a Unique Item  Contains the Morphology Mechanism which can be used to modify [Corrupted] Unique Items  Room [IncursionDestabilization|Destabilises] once device is used	6357107;7471203
sacrificechamber_lvl4	18	4	Empyrean of Blood	Contains a Unique Item  Contains the Morphology Mechanism which can be used to modify [Corrupted] Unique Items  Room [IncursionDestabilization|Destabilises] once device is used	7471201;6815843
architect	20	1	Architect's Chamber	Defeating the Architect allows use of Xipocado's Console which can be used to place various [IncursionRestrictedRoom|Restricted Rooms]  Defeating the Architect also unlocks [IncursionMedallions|Medallions]	
entrance	21	1	Foyer		
currency_reward	22	1	Kishara's Vault	Contains Rare Treasury Chests containing Currency  Room [IncursionDestabilization|Destabilises] once accessible	
lineage_support_reward	23	1	Vault of Reverence	Contains a Historic Chest containing a random [LineageSupports|Lineage Support Gem]  Room [IncursionDestabilization|Destabilises] once accessible	
socketable_reward	24	1	Jiquani's Vault	Contains a Rune Cache containing [Rune|Runes]  Room [IncursionDestabilization|Destabilises] once accessible	
tablet_reward	25	1	Tablet Research Vault	Contains the Corrupted Precursor Machine which allows the [Corrupted|Corruption] of a [Tablet|Tablet]  Room [IncursionDestabilization|Destabilises] once accessible	
unique_reward	26	1	Ancient Reliquary Vault	Contains a Reliquary Display which holds a Unique item  Room [IncursionDestabilization|Destabilises] once accessible	
access_chamber	27	1	Royal Access Chamber	Completion unlocks access to Atziri's Chamber  Room [IncursionDestabilization|Destabilises] once accessible	
unsocketing_reward	29	1	Extraction Chamber	Contains the Extraction Workbench which can be used to destroy an [Equipment] item, returning any [Augment|Augments] socketed in it  Room [IncursionDestabilization|Destabilises] once accessible	
viperspymaster_defeated_lvl1	30	1	Spymaster's Study		
viperspymaster_defeated_lvl2	30	2	Hall of Shadows		
viperspymaster_defeated_lvl3	30	3	Omnipresent Panopticon		
viperspymaster_defeated_lvl4	30	4	Espionage Core		
biome_water	31	1	Terraforming Research: Water	Room [IncursionDestabilization|Destabilises] once accessible	7143535
biome_mountain	32	1	Terraforming Research: Mountain	Room [IncursionDestabilization|Destabilises] once accessible	7143535
biome_grass	33	1	Terraforming Research: Grass	Room [IncursionDestabilization|Destabilises] once accessible	7143535
biome_forest	34	1	Terraforming Research: Forest	Room [IncursionDestabilization|Destabilises] once accessible	7143535
biome_swamp	35	1	Terraforming Research: Swamp	Room [IncursionDestabilization|Destabilises] once accessible	7143535
biome_desert	36	1	Terraforming Research: Desert	Room [IncursionDestabilization|Destabilises] once accessible	7143535
